Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,BALL OUT,,1,43517,1740.68,43525,1741.0,Player22,,1.03,0.17,1.01,0.19
Away,PASS,HEAD,1,44776,1791.04,44796,1791.84,Player21,Player15,0.48,0.82,0.39,0.91
Away,BALL LOST,INTERCEPTION,1,44798,1791.92,44826,1793.04,Player15,,0.4,0.91,0.42,0.88
Away,BALL OUT,,1,44995,1799.8,45002,1800.08,Player19,,0.22,0.98,0.2,1.03
Away,PASS,HEAD,1,45662,1826.48,45712,1828.48,Player18,Player22,0.55,0.1,0.65,0.07
Away,PASS,,1,45744,1829.76,45759,1830.36,Player22,Player18,0.69,0.0,0.67,0.07
Away,BALL LOST,INTERCEPTION,1,45765,1830.6,45790,1831.6,Player18,,0.68,0.07,0.72,0.07
Away,PASS,,1,45974,1838.96,46019,1840.76,Player20,Player17,0.61,0.0,0.45,0.14
Away,PASS,,1,46066,1842.64,46109,1844.36,Player17,Player16,0.42,0.23,0.38,0.6
Away,PASS,,1,46129,1845.16,46154,1846.16,Player16,Player15,0.38,0.63,0.4,0.84
Away,PASS,,1,46185,1847.4,46233,1849.32,Player15,Player23,0.4,0.84,0.61,0.76
Away,PASS,,1,46237,1849.48,46272,1850.88,Player23,Player19,0.61,0.77,0.54,0.94
Away,BALL LOST,INTERCEPTION,1,46327,1853.08,46347,1853.88,Player19,,0.5,0.91,0.53,0.87
Away,PASS,,1,46499,1859.96,46529,1861.16,Player21,Player17,0.22,0.67,0.14,0.57
Away,PASS,,1,46534,1861.36,46554,1862.16,Player17,Player15,0.13,0.57,0.14,0.73
Away,PASS,,1,46574,1862.96,46592,1863.68,Player15,Player21,0.13,0.76,0.21,0.67
Away,PASS,,1,46637,1865.48,46697,1867.88,Player21,Player22,0.24,0.7,0.38,0.19
Away,PASS,,1,46718,1868.72,46770,1870.8,Player22,Player24,0.38,0.18,0.52,0.14
Away,PASS,,1,46908,1876.32,46940,1877.6,Player24,Player22,0.8,0.18,0.74,0.34
Away,BALL LOST,INTERCEPTION,1,46943,1877.72,46980,1879.2,Player22,,0.74,0.33,0.58,0.17
Away,BALL LOST,INTERCEPTION,1,47944,1917.76,48054,1922.16,Player17,,0.12,0.69,0.62,0.84
Away,PASS,,1,48701,1948.04,48739,1949.56,Player23,Player15,0.59,0.81,0.6,0.93
Away,PASS,,1,48746,1949.84,48788,1951.52,Player15,Player16,0.6,0.93,0.47,0.86
Away,PASS,,1,48888,1955.52,48918,1956.72,Player16,Player20,0.42,0.67,0.49,0.85
Away,PASS,,1,49011,1960.44,49036,1961.44,Player20,Player24,0.58,0.83,0.7,0.61
Away,BALL LOST,INTERCEPTION,1,49038,1961.52,49068,1962.72,Player24,,0.7,0.61,0.78,0.68
Away,PASS,,1,49158,1966.32,49182,1967.28,Player19,Player15,0.66,0.78,0.58,0.85
Away,PASS,,1,49191,1967.64,49228,1969.12,Player15,Player16,0.57,0.85,0.43,0.79
Away,PASS,,1,49371,1974.84,49411,1976.44,Player16,Player21,0.39,0.6,0.49,0.35
Away,PASS,,1,49439,1977.56,49489,1979.56,Player21,Player18,0.49,0.33,0.65,0.04
Away,PASS,,1,49525,1981.0,49545,1981.8,Player18,Player22,0.69,0.07,0.73,0.21
Away,PASS,,1,49554,1982.16,49602,1984.08,Player22,Player18,0.73,0.2,0.86,0.1
Away,PASS,,1,49606,1984.24,49641,1985.64,Player18,Player23,0.87,0.1,0.84,0.33
Away,BALL LOST,INTERCEPTION,1,49668,1986.72,49690,1987.6,Player23,,0.86,0.33,0.93,0.51
Away,PASS,,1,49835,1993.4,49875,1995.0,Player18,Player22,0.93,-0.02,0.8,0.08
Away,PASS,,1,49933,1997.32,49948,1997.92,Player22,Player18,0.76,0.15,0.85,0.05
Away,PASS,,1,49981,1999.24,50011,2000.44,Player18,Player22,0.86,0.08,0.75,0.19
Away,PASS,,1,50086,2003.44,50146,2005.84,Player22,Player19,0.74,0.3,0.79,0.77
Away,PASS,,1,50146,2005.84,50196,2007.84,Player19,Player15,0.79,0.77,0.7,0.91
Away,PASS,,1,50235,2009.4,50252,2010.08,Player15,Player20,0.68,0.95,0.67,0.83
Away,PASS,,1,50281,2011.24,50308,2012.32,Player20,Player24,0.68,0.86,0.8,0.82
Away,BALL LOST,THEFT,1,50334,2013.36,50339,2013.56,Player24,,0.78,0.83,0.8,0.69
Away,PASS,,1,50551,2022.04,50614,2024.56,Player21,Player20,0.56,0.51,0.65,0.42
Away,PASS,,1,50619,2024.76,50647,2025.88,Player20,Player23,0.66,0.41,0.81,0.31
